"id","title","referenced_id","referenced_class"
657,blades - bandsaw,"8202",Heading
658,"blades - cutting, for machines or mechanical appliances","8208",Heading
659,blades - knife,"8211",Heading
660,blades - safety razor,"8212",Heading
661,"blades - saw, for hand or machine saws","8202",Heading
662,blades - scissors,"8213",Heading
663,blanching plant,"8419",Heading
664,blanket-stitching machine,"8452",Heading
665,blankets - electric (textile),"6301",Heading
666,blankets - other textile,"6301",Heading
667,"blanks, records, tapes, etc","8523",Heading
668,blasting machines,"8424",Heading
669,blazes,"5003",Heading
670,bleaching machines for textiles,"8451",Heading
671,blinds - aluminium,"9616",Heading
672,blinds - base metal fittings,"8302",Heading
673,blinds - glass beads,"7018",Heading
674,blinds - iron or steel,"7326",Heading
675,blinds - plastics,"3925",Heading
676,blinds - textile,"6303",Heading
677,blinds - wood,"4421",Heading
678,blister copper,"7402",Heading
